"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_se","alpha_se","pseudo_r2_log","pseudo_r2_count","converged","n_iter","n_obs","r_at_bound","alpha_at_bound"
"25","25","FALSE","1",13,0.102059367714679,8.48926160728531e-05,NA,NA,0.927533471689355,0.719506829689748,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","2",15,0.0894024256465397,8.58107676201403e-05,NA,NA,0.858788506341153,0.597688242812324,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","3",12,0.0882026417121667,8.72650001216956e-05,NA,NA,0.963209209281855,0.79102118955199,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","4",9,0.121986493689333,0.000134885370737939,NA,NA,0.926488984409541,0.617856802800443,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","5",13,0.145663496465347,0.000202559128381128,NA,NA,0.923643913321288,0.641878956437519,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","6",9,0.12843880205126,0.000141542820677959,NA,NA,0.929283920750097,0.726096464673792,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","7",17,0.08423333906346,0.000101790403024332,NA,NA,0.846308526140306,0.649423894827387,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","8",18,0.0919499826514719,0.000107590631219206,NA,NA,0.888905782054819,0.588452294274221,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","9",29,0.0834880098673219,8.63743844399881e-05,NA,NA,0.877813340074925,0.561507334681831,TRUE,NA,16,FALSE,FALSE
"25","25","FALSE","10",17,0.097831576569613,0.000128652341836514,NA,NA,0.869992177703298,0.703769221124506,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","1",15,0.142341226839902,0.000226901532379207,NA,NA,0.858449382281756,0.485461139297981,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","2",11,0.140822768800398,0.000176102896585717,NA,NA,0.933801552451406,0.663844238700654,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","3",19,0.097059457423845,0.000167319293159139,NA,NA,0.937795598417474,0.808073807262409,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","4",17,0.194909445686042,0.000484163189193867,NA,NA,0.814846511227125,0.3942013890426,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","5",10,0.187182479530239,0.000469748818674268,NA,NA,0.845416424334336,0.428962802694885,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","6",17,0.0824085641636229,0.000143449899968076,NA,NA,0.945655305208854,0.784453404419447,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","7",14,0.167399548774586,0.00035867940332662,NA,NA,0.820354959766201,0.457682150819563,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","8",10,0.201972950604668,0.000352447464363702,NA,NA,0.902080199886112,0.552824078244048,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","9",14,0.321861349880939,0.000775566623313361,NA,NA,0.84324856400515,0.354904807471752,TRUE,NA,16,FALSE,FALSE
"25","25","TRUE","10",11,0.167804531319793,0.000206607719585817,NA,NA,0.922650317829344,0.650058923747044,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","1",20,0.151154317316743,0.000182751774296893,NA,NA,0.883903828102359,0.38004276200149,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","2",11,0.238029096582705,0.000370304941136974,NA,NA,0.862194874106702,0.495255278235263,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","3",7,0.33219928054517,0.000706333214096339,NA,NA,0.868112204807333,0.326308148427345,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","4",17,0.176087524796892,0.000267168281049363,NA,NA,0.898934001645978,0.543655218862735,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","5",15,0.221857486956783,0.00038047238243836,NA,NA,0.912562665018269,0.506681785869765,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","6",15,0.144246223737698,0.000212950116995757,NA,NA,0.816540482368552,0.41851585966182,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","7",23,0.193885755336001,0.000369368256189827,NA,NA,0.744763112999385,0.316196024017044,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","8",28,0.150208711893039,0.000231180377938683,NA,NA,0.782454726163631,0.428186549739578,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","9",16,0.23753543593898,0.000370170081632464,NA,NA,0.858662716503717,0.450402699485167,TRUE,NA,16,FALSE,FALSE
"25","30","FALSE","10",17,0.320592734197323,0.000442756192884137,NA,NA,0.902237645200219,0.487202306868,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","1",6,0.253235835169968,0.000299136554628942,NA,NA,0.890875998219449,0.495524673829713,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","2",17,0.204856412865939,0.000280185202065724,NA,NA,0.833785171945224,0.489559524831962,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","3",19,0.278272865432557,0.000588889051314973,NA,NA,0.387619353741022,0.0937963050856757,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","4",18,0.277168617092809,0.000535752745448639,NA,NA,0.762166767026458,0.226975727526741,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","5",12,0.234311682212786,0.000349720663926979,NA,NA,0.867539767379419,0.414490673200001,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","6",31,0.0988227833768144,0.000114181667392101,NA,NA,0.768649435887312,0.505116445845914,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","7",30,0.245334471031544,0.000338157565028992,NA,NA,0.730925329057356,0.257491793301415,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","8",15,0.269783990913456,0.000421420573720395,NA,NA,0.796308995579405,0.343822996046526,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","9",9,0.297768143604927,0.00051067078697994,NA,NA,0.81170004944572,0.299867453029174,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","10",29,0.253869535181099,0.000344954355093513,NA,NA,0.811405564702485,0.292606328270718,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","1",7,0.149127962864669,0.000195390803180046,NA,NA,0.933861564823951,0.534301130362374,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","2",12,0.14896001840778,0.000251735391775834,NA,NA,0.884125444557022,0.484264801037218,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","3",17,0.203945142179547,0.000406774875611789,NA,NA,0.891098593200718,0.434358889807733,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","4",8,0.257005837226485,0.000580575257359457,NA,NA,0.698924123642853,0.204479739441657,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","5",17,0.213062082696098,0.000398229070125299,NA,NA,0.802486691543615,0.336017027146985,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","6",17,0.0840526609186697,0.000123856645944121,NA,NA,0.96254559475664,0.833463651386092,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","7",20,0.2483147917591,0.000578084495840527,NA,NA,0.760874661934591,0.245202297401101,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","8",18,0.110607209136455,0.000213993208452048,NA,NA,0.803984519429751,0.593107930143821,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","9",17,0.208898499256514,0.000349031151939643,NA,NA,0.819357832509122,0.415566746509254,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","10",13,0.218355898750858,0.000395352339581826,NA,NA,0.787853189514461,0.355624324591483,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","1",12,0.323421710857949,0.000502027731389893,NA,NA,0.816761833790909,0.243430248072556,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","2",16,0.167153156366027,0.000234937155902021,NA,NA,0.836046867740424,0.5236814193536,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","3",20,0.239737189398018,0.000559631875835379,NA,NA,0.292747170392957,0.0244915924552277,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","4",14,0.241047978685863,0.000449509139519428,NA,NA,0.804639623844081,0.362463468006116,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","5",15,0.245867272131895,0.000398296475760484,NA,NA,0.847835522758749,0.37988860339026,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","6",20,0.224219180605475,0.000382237041779424,NA,NA,0.757794193209347,0.238169855627735,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","7",20,0.18296978869835,0.000322284533177139,NA,NA,0.823097323764633,0.554321072482959,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","8",17,0.237611722539068,0.000472737664081725,NA,NA,0.602161051983251,0.14864435544643,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","9",12,0.336805113650541,0.000525392706342394,NA,NA,0.823131383944751,0.321407655502904,TRUE,NA,16,FALSE,FALSE
"30","30","TRUE","10",24,0.246859102403501,0.000310760413747671,NA,NA,0.766972253535374,0.293453081158111,TRUE,NA,16,FALSE,FALSE
